Item ID	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
IronGreatSwordHTD_Name	Iron Flamberge		Espadon en fer	Zweihänder	Eisernes Großschwert	Gran espada de Hierro	Железный длинный меч								Demir Büyük Kılıç						Ijzeren Langzwaard		Espada Grande de Ferro Pesado	铁质大剑	Iron Flamberge	철 대검								
IronGreatSwordHTD_Desc	A wavy greatsword of death. The design is foreign, but quite effective.		Espadon ondulée. La conception est peu commune mais plutôt efficace.		Ein gewelltes Großschwert des Todes. Das Design ist fremd, aber sehr effektiv.	Una espada ondulada de la muerte, su diseño es un poco extraño pero efectivo.	Двуручный меч с необычным волнистым лезвием, дизайн которого кажется не местным, но все равно является эффективным против врагов.								Kavisli büyük bir ölüm kılıcı, tasarımı yabancı ama oldukça etkili.						Een golvend langzwaard des doods, het ontwerp is vreemd maar zeer effectief.		Uma espada larga ondulada e mortal, a aparência é estranha, mas bastante eficaz.	一把波浪形的死亡大剑，设计很陌生但很有效。	A wavy greatsword of death. The design is foreign, but quite effective.	뱀모양의 이국적인 검신은 생각보다 효과적입니다.								
IronHeavyGreatSwordHTD_Name	Iron Zweihander		Lourde espadon en fer		Schweres Eisengroßschwert	Gran espada de Hierro pesada	Железный тяжелый длинный меч								Ağır Demir Büyük Kılıç						Zwaar Ijzeren Langzwaard		Espada Grande de Ferro Pesado	重铁大剑	Iron Zweihander	중철 대검								
IronHeavyGreatSwordHTD_Desc	A foreign weapon design that is heavier towards the end, and in general. Harder to swing, but devastatingly effective.		Une arme lourde de conception étrangère. Plus difficile à manier mais plus puissante qu'une espadon en fer classique.		Eine Waffe mit ausländischem Design, die gegen Ende und im Allgemeinen schwerer ist. Schwerer zu schwingen, aber stärker als ein normales Großschwert.	Un diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña.	Чужестранное оружее с ощутимым перевесом в лезвии. Им труднее размахивать, но тем не менее он сильнее, чем обычный длинный железный меч.								Sonlara doğru ve genel olarak daha ağır olan başka bir yabancı tasarım. Savurması daha zor ama normal demir büyük kılıçtan daha güçlü.						Een vreemd ontworpen wapen dat zwaarder is richting de punt. Het is moeilijker te zwaaien maar sterker dan een normaal langzwaard		Uma arma de design estrangeiro, é mais pesada no final . Mais difícil de balançar, porém mais forte do que uma espada larga normal.	一种外来人设计的武器，在接近尾端时更重，一般来说。更难挥舞，但比普通的巨剑更强。	A foreign weapon design that is heavier towards the end, and in general. Harder to swing, but devastatingly effective.	끝으로 갈수록 무거워지는 검신은 휘두르기 어렵지만 일반 철 양손검보다 강합니다.								
SilverGreatSwordHTD_Name	Silver Greatsword		Espadon en argent		Silbernes Großschwert	Gran espada de Plata	Серебряный длинный меч								Gümüş Büyük Kılıç						Zilveren Langzwaard		Espada Grande de Prata	银质大剑	Silver Greatsword Ather	은 대검								
SilverGreatSwordHTD_Desc	A large, ceremonial sword forged from pure silver, often carried by warrior nobility. Though not expressly made for combat, it has excellent range and the silver blade rends the undead apart.		Une espadon de cérémonie argentée. Les nobles guerriers ne choisiraient pas de renoncer à leur sécurité par choix. Cependant, la portée et sa lame argentée rendent cette arme idéale pour les hordes de morts-vivants.		Ein großes versilbertes Zeremonialschwert, edle Krieger würden ihre persönliche Sicherheit nicht freiwillig aufgeben. Die Reichweite und das Silber machen diese Waffe jedoch großartig für Horden von Untoten.	Una larga espada ceremonial, normalmente los nobles no eligen un arma que los deje desprotegidos. En cualquier caso, el rango y el material hacen que esta arma sea buena para las hordas de los no-muertos.	Длинный церемониальный меч украшенный серебром, ни один благородный воин не отказался бы от своей безопасности, однако длинное лезвие и чистое серебро делают его отличным оружием против полчищ нежити.								Büyük bir gümüş merasim kılıcı. Asil olan savaşçılar kişisel güvenliklerinden vazgeçmeyi tercih etmezler. Ancak menzili ve saf gümüşten olması onu ölümsüz ordular için harika bir tercih olarak kılıyor.						Een groot verzilverd ceremonieel zwaard, adele krijgers zouden hun veiligheid niet vrijwillig opgeven. Evenals, het bereik en het zilver maken dit wapen geweldig tegen hordes ondonden.		Uma grande espada cerimonial de prata, os nobres guerreiros não escolheriam abrir mão de sua segurança pessoal. No entanto, o alcance e a prata tornam esta arma excelente para hordas de mortos-vivos.	一把超大的镀银仪式用剑，高贵的武者会用它捍卫自己的安全。 挥舞的范围和纯银材质对亡灵生物而言是致命的。	A large, ceremonial sword forged from pure silver, often carried by warrior nobility. Though not expressly made for combat, it has excellent range and the silver blade rends the undead apart.	은으로 도금된 의식용 검. 이검을 지닌 고귀한 전사들은 죽은자들과의 싸움을 주저하지 않습니다.								
SilverGreatMaceHTD_Name	Great Silver Mace		Masse en argent		Großer Silberstreitkolben	Gran mazo de Plata	Серебряная двуручная булава								Büyük Gümüş Gürz						Zilveren Grootknots		Excelente Maça de Prata	大银锤	Great Silver Mace Ather	은 양손메이스								
SilverGreatMaceHTD_Desc	Forged with silver and enchanted, its dense metal and purifying bite cleaves through the undead. Further, its enchantments grant it the ability to freeze those that meet its bludgeoning head.		Forgé avec de l'argent et enchanté, le poids de sa tête contondante la rend idéal contre les morts-vivants. Les enchantements lui donnent la capacité de geler ceux qu'elle touche.		Mit Silber geschmiedet und verzaubert, macht es das Gewicht des Knüppelkopfes großartig gegen die Untoten. Die Verzauberungen geben ihm die Fähigkeit, diejenigen einzufrieren, die er trifft.	Forjada y encantada con plata, su peso y material la convierte en un arma muy deseada para acabar con los no-muertos. Los encantamientos le otorgan el poder de congelar con cada golpe.	Зачарованная булава, выкованная из серебра, что делает её отличным оружием против нежити. Чары в свою очередь дают ей возможность замораживать пораженных врагов.								Gümüşle dövülmüş ve büyülenmiş, gümüşün ağırlığı, arındırıcı metalden ve yoğunluktan onu ölümsüzlere karşı harika kılıyor. Büyüler ona çarptığını dondurma yeteneği sağlar.						Gesmeed met zilver en betoverd, het gewicht van de knots maakt het gewldig tegen ondoden. De betoveringen geeft het de kracht degene die geraakt worden te bevriezen.		Forjado com prata e encantado, o peso da cabeça do golpe o torna grande contra os mortos-vivos. Os encantamentos dão a habilidade de congelar esses golpes.	用银锻造并附魔，银的重量使其从净化金属和密度上可以很好地对抗不死生物。 附魔使它能够冻结它击中的人。	Forged with silver and enchanted, its dense metal and purifying bite cleaves through the undead. Further, its enchantments grant it the ability to freeze those that meet its bludgeoning head.	은으로 단조되고 마법이 부여된 은 양손메이스는 교회의 이단심문관의 주무기입니다. 죽은자들에게 효과적입니다.								
SilverBattleaxeHTD_Name	Silver Battleaxe		Hache en argent		Silberne Streitaxt	Hacha de guerra de Plata	Серебряная секира								Gümüş Savaş Baltası						Zilveren Strijdbijl		Machado de Batalha de Prata	银色战斧	Silver Battleaxe Ather	은 전투도끼								
SilverBattleaxeHTD_Desc	Purest of metals, this battleaxe is touched by the fury of the sky and cackles with electricity.  It's also pretty good at cutting trees.		Fabriquée à partir des métaux les plus purs, cette hache de combat est touchée par la fureur du ciel et la fait crépiter d'électricité.		Diese aus reinsten Metallen gefertigte Streitaxt wird von der Wut des Himmels berührt und lässt sie vor Elektrizität knistern. Es kann auch aufgrund von Sunder Trees machen.	Forjada con el mas puro de los metales, esta hacha de batalla es tocada por la furia del cielo, haciéndola crepitar con la electricidad.	Боевой топор из чистейшего из металлов, наполненный яростью неба, заставляющей его излучать электрические разряды. Искры также могут появится и при рубке деревьев.								Metallerin en safından olan bu savaş baltası, gökyüzünün gazabından etkilenir ve elektrikle kıvılcımlanır. Uzuvkoparan ağaçlar nedeniyle de yapabilir.						Gemaakt van de puurste metalen, deze strijdbijl is geraakt door de furie van de lucht waardoor het knettert met elektriciteit. Het zal ook voldoen om bome te splijtsen.		Feito com o mais puro dos metais, este machado de batalha é tocado pela fúria do céu fazendo-o estalar com eletricidade. Também pode ocorrer devido a árvores rachadas.	最纯净的金属，这把战斧被天空的愤怒所触动，使其发出电流声。 它也可能因树木被破坏而产生。	Purest of metals, this battleaxe is touched by the fury of the sky and cackles with electricity.  It's also pretty good at cutting trees.	순수한 금속인 이 전투도끼는 하늘의 분노에 전율합니다.								
